DATA,CORINTHIANS,PLACARCOR,PLACARADV,ADVERSÁRIO
17-01-60,CORINTHIANS,2,2,LONDRINA (FR)
20-01-60,CORINTHIANS,1,1,CORINTHIANS (PRUDENTE)
28-01-60,CORINTHIANS,4,2,COMB. UNIV. CATÓLICA/UNIV. DE CHILE
20-02-60,CORINTHIANS,5,2,COMB. INTER BEBEDOURO/JABOTICABAL
21-02-60,CORINTHIANS,3,6,JABOTICABAL
24-02-60,CORINTHIANS,1,1,JUVENTUS
05-03-60,CORINTHIANS,3,0,COMB. INTER BEBEDOURO/JABOTICABAL
06-03-60,CORINTHIANS,1,1,JABOTICABAL
13-03-60,CORINTHIANS,1,2,FLUMINENSE
16-03-60,CORINTHIANS,1,3,FLAMENGO
20-03-60,CORINTHIANS,1,1,BOTAFOGO
26-03-60,CORINTHIANS,2,1,PORTUGUESA
31-03-60,CORINTHIANS,2,1,SANTOS
03-04-60,CORINTHIANS,2,1,AMÉRICA
05-04-60,CORINTHIANS,3,0,VASCO DA GAMA
10-04-60,CORINTHIANS,0,0,SÃO PAULO
13-04-60,CORINTHIANS,1,0,PALMEIRAS
16-04-60,CORINTHIANS,1,1,VASCO DA GAMA
21-04-60,CORINTHIANS,1,4,AMÉRICA
24-04-60,CORINTHIANS,1,1,ATLÉTICO MINEIRO
01-05-60,CORINTHIANS,2,0,UBERABA
08-05-60,CORINTHIANS,1,0,BOTAFOGO (RIBEIRÃO PRETO)
11-05-60,CORINTHIANS,2,3,PORTUGUESA
15-05-60,CORINTHIANS,7,2,COMB. BARRETOS/FORTALEZA
22-05-60,CORINTHIANS,1,1,SÃO PAULO
26-05-60,CORINTHIANS,2,0,COLO COLO
29-05-60,CORINTHIANS,3,0,SÃO BENTO (MARÍLIA)
02-06-60,CORINTHIANS,3,2,JUVENTUS
05-06-60,CORINTHIANS,4,0,AVAREENSE
08-06-60,CORINTHIANS,2,1,PALMEIRAS
10-06-60,CORINTHIANS,5,2,ITUVERAVA
12-06-60,CORINTHIANS,2,0,CORINTHIANS (PRUDENTE)
19-06-60,CORINTHIANS,2,1,NOROESTE
22-06-60,CORINTHIANS,1,2,TAUBATÉ
24-06-60,CORINTHIANS,2,0,LUCÉLIA
29-06-60,CORINTHIANS,4,1,TUPÃ
17-07-60,CORINTHIANS,0,3,PORTUGUESA
20-07-60,CORINTHIANS,1,0,FERROVIÁRIA (ARARAQUARA)
27-07-60,CORINTHIANS,3,2,JUVENTUS
31-07-60,CORINTHIANS,1,1,SANTOS
03-08-60,CORINTHIANS,2,3,JABAQUARA (EX-HESPANHA)
07-08-60,CORINTHIANS,0,1,GUARANI
14-08-60,CORINTHIANS,0,1,PORTUGUESA SANTISTA
17-08-60,CORINTHIANS,2,1,PALMEIRAS
21-08-60,CORINTHIANS,3,1,AMÉRICA (RIO PRETO)
27-08-60,CORINTHIANS,3,1,PONTE PRETA
31-08-60,CORINTHIANS,1,2,COMERCIAL (RIBEIRÃO PRETO)
04-09-60,CORINTHIANS,2,1,XV DE PIRACICABA
11-09-60,CORINTHIANS,0,0,BOTAFOGO (RIBEIRÃO PRETO)
15-09-60,CORINTHIANS,3,1,SÃO PAULO
21-09-60,CORINTHIANS,2,0,CORINTHIANS (PRUDENTE)
01-10-60,CORINTHIANS,5,1,JABAQUARA (EX-HESPANHA)
05-10-60,CORINTHIANS,1,1,XV DE PIRACICABA
12-10-60,CORINTHIANS,2,1,AMÉRICA (RIO PRETO)
16-10-60,CORINTHIANS,3,1,PORTUGUESA
19-10-60,CORINTHIANS,1,0,TAUBATÉ
22-10-60,CORINTHIANS,3,0,BOTAFOGO (RIBEIRÃO PRETO)
30-10-60,CORINTHIANS,1,2,FERROVIÁRIA (ARARAQUARA)
03-11-60,CORINTHIANS,1,1,PALMEIRAS
06-11-60,CORINTHIANS,2,0,PORTUGUESA SANTISTA
10-11-60,CORINTHIANS,2,2,GUARANI
13-11-60,CORINTHIANS,1,0,COMERCIAL (RIBEIRÃO PRETO)
15-11-60,CORINTHIANS,3,1,FRANCANA
20-11-60,CORINTHIANS,2,2,NOROESTE
23-11-60,CORINTHIANS,1,4,SÃO PAULO
